"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/21 16:24:05","6fd6b3c6377213005d19dcc773990e2d","ATA000000000003|ATY000000000008|RTY000000000004","Created","Success",""
"2018/06/21 16:24:05","afd6b3c6377213005d19dcc773990e2e","ATA000000000005|ATY000000000010|RTY000000000004","Created","Success",""
"2018/06/21 16:24:05","6fd6b3c6377213005d19dcc773990e2d","ATA000000000016|ATY000000000008|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/21 16:24:05","afd6b3c6377213005d19dcc773990e2e","ATA000000000018|ATY000000000010|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/21 16:24:05","2bd6b3c6377213005d19dcc773990e2f","ATA000000000020|ATY000000000006|RTY000000000004","Created","Success",""
"2018/06/21 16:24:05","a3d6b3c6377213005d19dcc773990e30","ATA000000000034|ATY000000000039|RTY000000000004","Created","Success",""
"2018/06/21 16:24:05","a3d6b3c6377213005d19dcc773990e30","ATA000000000038|ATY000000000039|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/21 16:24:05","2fd6b3c6377213005d19dcc773990e30","ATA000000000058|ATY000000000076|RTY000000000004","Created","Success",""
"2018/06/21 16:24:05","2fd6b3c6377213005d19dcc773990e30","ATA000000000062|ATY000000000076|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/21 16:24:05","a7d6b3c6377213005d19dcc773990e31","ATA000000000075|ATY000000000031|RTY000000000004","Created","Success",""
